City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,badger,64.8,-147.5333,-4.07,87,100,0.0,US,1697125075
84,whitehorse,60.7161,-135.0538,2.43,80,100,8.23,CA,1697124927
85,kingston,17.997,-76.7936,32.53,70,20,8.23,JM,1697124702
86,port elizabeth,-33.918,25.5701,20.16,76,40,8.23,ZA,1697125076
87,kansanshi,-12.0951,26.4273,21.19,66,99,4.22,ZM,1697125076
88,edinburgh of the seven seas,-37.0676,-12.3116,13.01,73,8,5.4,SH,1697125076
89,reuleuet,5.2167,96.2833,26.84,83,56,0.61,ID,1697125076
90,coruripe,-10.1256,-36.1756,28.14,62,25,6.09,BR,1697125076
91,papao,-17.75,-149.55,22.82,74,9,8.58,PF,1697125076
92,west island,-12.1568,96.8225,25.99,78,75,6.69,CC,1697125076
93,leua,48.2156,18.6071,18.95,59,68,1.55,SK,1697125077
94,longyearbyen,78.2186,15.6401,-5.09,68,40,5.14,SJ,1697125070
95,atafu village,-8.5421,-172.5159,28.7,76,15,6.2,TK,1697125077
96,thompson,55.7435,-97.8558,5.09,100,100,1.03,CA,1697125077
97,jinghong,21.991,100.7341,20.53,99,39,0.92,CN,1697125077
98,tadine,-21.55,167.8833,20.04,86,100,7.02,NC,1697125077
99,egilsstadir,65.2653,-14.3948,2.95,87,75,6.69,IS,1697125077
100,dalandzadgad,43.5708,104.425,11.04,29,0,3.77,MN,1697125077
101,fordon,53.1482,18.1704,14.36,69,40,5.66,PL,1697125077
102,tazovsky,67.4667,78.7,0.86,96,100,1.96,RU,1697125078
103,souillac,-20.5167,57.5167,24.21,73,40,2.06,MU,1697125078
104,sohbatpur,28.5202,68.5434,30.09,22,0,2.95,PK,1697125078
105,tiksi,71.6872,128.8694,-5.4,90,100,4.72,RU,1697125078
106,bredasdorp,-34.5322,20.0403,15.64,85,13,6.66,ZA,1697125078
107,zelezniki,46.2333,14.1667,19.41,84,61,1.82,SI,1697125078
108,kayyerkan,69.3786,87.7439,-0.39,100,100,1.41,RU,1697125078
109,revelstoke,50.9832,-118.2023,8.01,93,100,1.03,CA,1697125078
110,keflavik,64.0049,-22.5624,4.24,75,100,13.38,IS,1697125079
111,yuzhno-kurilsk,44.0306,145.8556,12.99,70,18,2.0,RU,1697125079
112,daoukro,7.0591,-3.9631,28.42,72,85,0.96,CI,1697125079
113,ginir,7.1333,40.7,17.01,77,93,1.21,ET,1697125079
114,yaren,-0.5472,166.916,28.61,76,80,3.9,NR,1697125079
115,saipan,15.1355,145.701,28.39,89,40,6.17,MP,1697125079
116,vrangel',42.7297,133.0839,13.4,62,3,3.01,RU,1697125079
117,motygino,58.1831,94.7592,5.99,67,100,2.68,RU,1697125079
118,machico,32.7,-16.7667,30.62,54,20,9.77,PT,1697125080
119,novodvinsk,64.4165,40.8122,7.66,92,83,4.73,RU,1697125080
120,chicoana,-25.1009,-65.5331,16.14,48,100,1.54,AR,1697125080
121,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,40,6.71,RU,1697125080
122,bilibino,68.0546,166.4372,-6.69,92,100,2.82,RU,1697125080
123,port-gentil,-0.7193,8.7815,28.98,74,75,7.2,GA,1697125080
124,college,64.8569,-147.8028,-4.03,83,100,0.0,US,1697125080
125,manta,-0.95,-80.7333,25.88,73,100,1.54,EC,1697125080
126,natal,-5.795,-35.2094,31.36,62,75,8.23,BR,1697124913
127,ra-ngae,6.2968,101.7284,24.24,95,74,1.39,TH,1697124837
128,walvis bay,-22.9575,14.5053,17.27,62,0,10.33,NA,1697125081
129,sabang,5.8933,95.3214,27.88,77,40,5.0,ID,1697125081
130,undurkhaan,47.3194,110.6556,5.7,54,0,2.0,MN,1697125081
131,santa vitoria do palmar,-33.5189,-53.3681,13.09,47,28,5.21,BR,1697125081
132,vorgashor,67.5833,63.95,-1.21,79,9,4.82,RU,1697125081
133,ribeira grande,38.5167,-28.7,23.22,73,20,6.17,PT,1697125081
134,invercargill,-46.4,168.35,10.05,78,100,4.5,NZ,1697125081
135,borkum,53.5809,6.6915,14.97,63,56,2.44,DE,1697125082
136,wonju,37.3514,127.9453,10.5,73,100,0.94,KR,1697124828
137,al bukayriyah,26.1442,43.6593,35.87,11,0,2.61,SA,1697125082
138,kirakira,-10.4544,161.9205,25.91,89,100,4.81,SB,1697125082
139,puerto aysen,-45.4,-72.7,8.99,83,86,0.16,CL,1697125082
140,maracaju,-21.6144,-55.1683,37.05,32,22,6.99,BR,1697124852
141,ust-tsilma,65.441,52.1498,-0.77,81,100,5.36,RU,1697125082
142,brisas de zicatela,15.8369,-97.0419,27.29,69,40,1.54,MX,1697125082
143,nicoya,10.1483,-85.452,29.88,74,44,1.93,CR,1697124869
144,enewetak,11.3474,162.3373,28.09,77,41,4.07,MH,1697125082
145,hilo,19.7297,-155.09,23.49,80,75,2.06,US,1697124901
146,roccella ionica,38.322,16.4009,23.21,69,17,2.04,IT,1697125083
147,sinop,41.7711,34.8709,13.24,63,0,2.49,TR,1697125083
148,paradip garh,20.3167,86.6167,27.84,76,3,2.66,IN,1697125083
149,chonchi,-42.6128,-73.8092,9.56,57,92,1.54,CL,1697125083
150,mambajao,9.2504,124.7156,27.4,82,23,2.46,PH,1697125083
151,sorong,-0.8833,131.25,25.97,90,100,3.25,ID,1697125017
152,hadibu,12.65,54.0333,27.47,80,76,2.89,YE,1697125083
153,bodo,67.28,14.405,6.02,70,75,3.09,NO,1697124900
154,along,28.1667,94.7667,19.56,97,9,1.0,IN,1697125084
155,mana,5.6592,-53.7767,31.8,59,24,4.75,GF,1697125084
156,thinadhoo,0.5333,72.9333,27.97,70,9,5.66,MV,1697125084
157,tamanrasset,22.785,5.5228,26.95,18,40,7.72,DZ,1697125084
158,kathu,7.9178,98.3332,30.94,70,32,1.23,TH,1697125084
159,la passe,45.5549,-0.8967,28.34,46,90,1.88,FR,1697125084
160,lompoc,34.6391,-120.4579,22.1,69,20,4.02,US,1697125085
161,constantia,44.1833,28.65,18.38,65,0,7.52,RO,1697124918
162,port lincoln,-34.7333,135.8667,11.41,80,0,4.36,AU,1697125085
163,broken hill,-31.95,141.4333,11.14,61,0,7.48,AU,1697125085
164,happy valley-goose bay,53.3168,-60.3315,12.17,82,20,1.54,CA,1697125085
165,anadyr,64.75,177.4833,4.28,100,75,10.0,RU,1697125085
166,nuuk,64.1835,-51.7216,7.34,42,20,7.72,GL,1697125085
167,san patricio,28.017,-97.5169,28.92,70,77,4.01,US,1697125085
168,kasongo,-4.45,26.6667,27.69,52,76,1.04,CD,1697125085
169,cooper's town,26.8667,-77.5167,28.7,86,100,9.52,BS,1697125086
170,tual,-5.6667,132.75,27.02,84,54,7.23,ID,1697125086
171,port mathurin,-19.6833,63.4167,23.6,72,13,3.71,MU,1697125086
